she 's all-powerful , a voice for a pop-cyber culture that feeds on her bjorkness .	pos
filmmakers david weissman and bill weber benefit enormously from the cockettes ' camera craziness -- not only did they film performances , but they did the same at home .	pos
sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .	pos
everywhere the camera looks there is something worth seeing .	pos
there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .	pos
even if invincible is not quite the career peak that the pianist is for roman polanski , it demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken .	pos
a tremendous piece of work .	pos
strange it is , but delightfully so .	pos
idiotic and ugly .	pos
the success of undercover brother is found in its ability to spoof both black and white stereotypes equally .	pos
the film 's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .	pos
lead actress ga , she of the impossibly long limbs and sweetly conspiratorial smile , is a towering siren .	pos
michael moore 's latest documentary about america 's thirst for violence is his best film yet . . .	pos
you 'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .	pos
it may sound like a mere disease-of- the-week tv movie , but a song for martin is made infinitely more wrenching by the performances of real-life spouses seldahl and wollter .	pos
like the full monty , this is sure to raise audience 's spirits and leave them singing long after the credits roll .	pos
an ambitious and moving but bleak film .	pos
shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .	pos
visually striking and viscerally repellent .	pos
a painfully funny ode to bad behavior .	pos
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience . but it also has many of the things that made the first one charming .	pos
works as pretty contagious fun .	pos
dog soldiers does n't transcend genre -- it embraces it , energizes it and takes big bloody chomps out of it .	pos
the draw [ for `` big bad love `` ] is a solid performance by arliss howard .	pos
made for teens and reviewed as such , this is recommended only for those under 20 years of age . . . and then only as a very mild rental .	pos
' . . . the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '	pos
this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .	pos
atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues	pos
[ f ] rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels .	pos
like other great documentaries . . . this goes after one truth ( the ford administration 's complicity in tearing 'orphans ' from their mothers ) and stumbles upon others even more compelling .	pos
a bodice-ripper for intellectuals .	pos
a fine documentary can be distinguished from a mediocre one by the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience . judging by those standards , 'scratch ' is a pretty decent little documentary .	pos
there are a couple of things that elevate `` glory `` above most of its ilk , most notably the mere presence of duvall .	pos
the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs .	pos
exploits [ headbanger ] stereotypes in good fun , while adding a bit of heart and unsettling subject matter .	pos
